,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
3641,0,No,No,49,Yes,No,DSL,No,No,Yes,Yes,Two year,Yes,Others,74.45,0
4125,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Others,86.1,0
2234,0,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,Yes,Two year,No,Others,59.7,0
298,0,Yes,Yes,40,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.55,0
1187,1,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Others,104.05,0
6664,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Others,104.8,0
2089,0,No,No,50,No,No,DSL,No,Yes,Yes,Yes,Two year,No,Others,39.7,0
6466,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Others,74.15,0
5241,0,No,No,55,Yes,No,DSL,No,Yes,No,Yes,One year,Yes,Electronic check,64.2,0
3767,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Others,110.9,0
3284,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.9,0
4381,1,No,No,49,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,90.85,1
4258,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Others,109.55,1
1021,0,Yes,No,28,Yes,No,DSL,Yes,No,No,Yes,One year,No,Others,54.35,0
4639,1,No,No,26,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,93.6,0
4444,0,No,No,3,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.85,1
4318,0,No,No,56,Yes,No,DSL,No,Yes,No,Yes,One year,Yes,Others,75.75,0
5100,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,75.3,1
1995,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,1
1521,0,No,No,37,Yes,Yes,DSL,Yes,Yes,Yes,Yes,One year,No,Electronic check,67.45,0
546,0,Yes,Yes,39,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,86.3,1
6515,0,No,No,29,No,No,DSL,No,No,No,No,Month-to-month,Yes,Others,25.1,1
5912,1,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Others,85.2,1
6207,1,No,No,46,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,85.0,1
3972,0,No,No,45,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Others,50.9,0
6260,0,No,No,13,No,No,DSL,No,No,Yes,Yes,Two year,No,Others,35.4,0
2136,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.0,0
1281,0,No,No,36,Yes,No,No,No,No,No,No,One year,Yes,Others,19.25,0
1276,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,99.4,0
5470,1,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,No,Two year,No,Others,89.45,0
5505,0,Yes,Yes,12,No,No,DSL,No,No,No,Yes,One year,No,Others,30.25,0
6116,0,No,No,48,Yes,Yes,DSL,No,Yes,Yes,Yes,One year,Yes,Others,73.85,0
2584,0,Yes,No,58,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,Yes,Others,65.25,0
2977,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,19.5,0
471,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,55.0,1
1794,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,91.05,0
3071,0,Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Others,90.5,0
3363,0,Yes,No,57,No,No,DSL,No,Yes,Yes,Yes,Two year,Yes,Others,57.5,0
650,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,69.55,1
6606,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,1
3101,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Others,79.8,0
4042,0,No,No,5,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,51.35,0
4057,0,Yes,Yes,72,Yes,Yes,No,No,No,No,No,Two year,No,Others,24.9,0
3951,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Others,79.15,0
2385,0,No,Yes,3,No,No,DSL,No,Yes,No,No,Month-to-month,No,Others,29.65,0
1665,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,76.85,0
4503,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,94.4,1
3034,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,84.5,1
3163,1,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,90.7,0
5397,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,84.85,1
6674,0,No,No,7,Yes,Yes,No,No,No,No,No,Month-to-month,No,Others,23.5,0
5016,0,No,No,5,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.85,1
2792,0,No,No,15,Yes,No,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,48.85,0
5245,0,Yes,Yes,70,Yes,No,No,No,No,No,No,Two year,Yes,Others,20.15,0
967,0,No,Yes,3,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.85,0
3298,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.05,0
123,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,Month-to-month,No,Others,50.7,0
6633,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,1
6435,0,Yes,Yes,52,No,No,DSL,No,Yes,Yes,Yes,Two year,No,Others,50.2,0
1682,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Electronic check,85.25,0
4441,0,Yes,No,42,Yes,No,No,No,No,No,No,Two year,No,Electronic check,20.25,0
3844,0,No,No,35,Yes,Yes,DSL,Yes,No,Yes,Yes,One year,Yes,Others,85.95,1
3064,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,68.65,0
3011,0,Yes,Yes,9,Yes,No,No,No,No,No,No,Two year,No,Others,19.75,0
592,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,No,Others,83.5,0
465,0,No,No,70,No,No,DSL,No,No,No,Yes,Two year,Yes,Others,40.05,0
5131,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,96.1,1
2687,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.0,0
6497,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,103.05,0
5333,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,88.35,1
6029,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Others,94.9,0
210,0,No,No,2,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,46.0,1
2420,0,Yes,Yes,4,No,No,DSL,Yes,No,No,No,Month-to-month,No,Others,38.55,0
6076,0,Yes,Yes,65,Yes,No,DSL,Yes,Yes,Yes,No,One year,No,Others,61.35,0
3277,0,Yes,Yes,13,Yes,No,No,No,No,No,No,One year,No,Others,20.0,0
5501,0,No,No,17,No,No,DSL,No,No,No,No,Month-to-month,No,Others,25.1,0
2827,0,No,No,1,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Others,50.15,0
3653,0,Yes,No,38,No,No,DSL,Yes,Yes,No,Yes,Two year,Yes,Others,60.0,0
1338,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.15,1
882,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,83.9,1
3516,0,No,No,3,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,43.3,1
1294,0,No,No,6,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,44.75,1
2065,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,85.35,0
3503,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,Yes,One year,Yes,Electronic check,104.25,0
6449,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.55,0
517,1,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,70.05,0
5417,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,No,No,Two year,Yes,Others,61.4,0
6743,0,No,No,10,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.0,0
4874,0,No,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Others,83.9,1
5676,0,Yes,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.75,0
5426,0,Yes,No,51,Yes,Yes,DSL,No,No,No,Yes,Two year,Yes,Others,75.2,0
2273,0,Yes,No,30,Yes,No,No,No,No,No,No,One year,No,Others,19.8,0
3426,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,1
6500,0,No,No,21,No,No,DSL,Yes,No,No,Yes,Two year,No,Others,35.1,0
6637,0,Yes,No,69,Yes,No,DSL,Yes,Yes,No,No,One year,Yes,Others,53.65,0
2029,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,One year,Yes,Others,90.6,1
2805,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,Yes,Two year,No,Others,59.85,0
4195,1,No,No,45,Yes,Yes,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,70.05,0
4048,0,Yes,Yes,58,No,No,DSL,Yes,No,Yes,Yes,Two year,No,Others,59.75,0
4552,0,No,No,9,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.45,0
2602,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,111.45,0
1849,0,No,No,10,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,45.55,1
700,0,Yes,Yes,66,Yes,Yes,DSL,No,No,Yes,No,Two year,Yes,Others,63.3,0
6236,1,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,100.6,0
2663,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Others,109.15,0
110,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,96.75,1
1535,1,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,64.2,0
127,0,Yes,No,72,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,23.55,0
1819,0,Yes,Yes,61,No,No,DSL,No,Yes,Yes,Yes,Two year,No,Others,51.35,0
5452,0,Yes,Yes,37,Yes,No,DSL,Yes,Yes,No,No,One year,No,Others,75.1,0
390,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,95.6,0
469,0,Yes,Yes,13,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,55.95,1
3291,0,Yes,Yes,24,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,No,Electronic check,55.15,0
5627,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,0
1555,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Others,106.1,1
5898,0,Yes,Yes,33,Yes,Yes,No,No,No,No,No,One year,No,Others,24.15,0
3225,0,No,No,13,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,71.95,0
3249,0,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,Month-to-month,Yes,Others,55.55,0
1855,0,Yes,Yes,46,Yes,No,No,No,No,No,No,Two year,Yes,Others,20.1,0
2081,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,75.3,0
3785,1,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.8,1
4748,0,No,No,22,Yes,No,No,No,No,No,No,One year,No,Others,20.3,0
4589,0,Yes,Yes,10,Yes,No,No,No,No,No,No,Two year,No,Others,20.15,0
4900,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.7,1
7017,0,No,No,51,Yes,No,No,No,No,No,No,Two year,No,Others,20.65,0
5868,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Others,44.0,0
338,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Others,94.8,0
232,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Others,84.6,1
3812,0,No,No,17,Yes,No,No,No,No,No,No,One year,Yes,Others,19.65,0
2143,1,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,Two year,No,Electronic check,74.85,0
1058,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,89.55,1
2341,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Others,114.9,0
4191,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.75,0
3112,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Others,100.55,0
6363,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.85,0
4196,0,Yes,Yes,70,Yes,Yes,No,No,No,No,No,Two year,No,Others,24.05,0
3236,0,No,No,16,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,55.3,0
6304,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,77.65,1
1331,0,No,No,1,No,No,DSL,No,No,No,No,Month-to-month,Yes,Others,25.15,0
237,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,73.15,0
4855,0,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Others,104.05,0
2960,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,100.75,1
682,0,No,No,3,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,Yes,Others,64.4,0
591,0,Yes,Yes,46,Yes,Yes,No,No,No,No,No,One year,No,Electronic check,24.9,0
924,1,No,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Electronic check,81.7,0
5957,1,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,78.55,1
2607,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.75,1
1156,0,No,No,53,Yes,No,No,No,No,No,No,Two year,No,Others,18.7,0
6862,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.85,1
4320,0,Yes,No,71,Yes,No,No,No,No,No,No,One year,No,Electronic check,20.85,0
6469,0,No,No,35,Yes,No,No,No,No,No,No,Two year,No,Others,21.45,0
6239,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Two year,Yes,Electronic check,99.4,0
6706,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.9,0
6555,0,No,No,18,Yes,No,No,No,No,No,No,One year,No,Others,19.65,0
1905,0,No,No,41,Yes,Yes,No,No,No,No,No,One year,Yes,Others,24.85,0
1113,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,78.95,1
4516,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Others,87.55,0
1628,1,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.05,0
1155,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,No,Others,76.1,0
4520,0,Yes,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.95,1
6381,0,No,Yes,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.55,0
1927,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Others,107.35,1
5762,1,Yes,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Others,105.7,0
6744,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,No,Others,101.35,0
4149,0,Yes,No,71,No,No,DSL,No,Yes,No,No,Two year,No,Electronic check,49.35,1
4810,1,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,89.85,1
4598,0,No,No,18,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,No,Others,56.25,0
2215,0,Yes,No,70,No,No,DSL,Yes,No,Yes,Yes,Two year,Yes,Others,49.85,0
1502,0,Yes,No,49,Yes,Yes,DSL,Yes,No,No,No,One year,Yes,Electronic check,55.35,0
666,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,69.65,1
1228,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Others,100.85,0
2662,0,No,No,2,No,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.25,1
2647,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,Yes,Others,20.0,0
5745,0,Yes,Yes,61,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,24.2,0
864,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,94.65,1
5075,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.15,0
6255,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Others,110.55,0
1531,0,Yes,Yes,35,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.75,0
3569,0,No,No,17,Yes,No,No,No,No,No,No,One year,No,Others,19.95,0
3382,0,Yes,Yes,72,Yes,Yes,No,No,No,No,No,Two year,No,Others,25.55,0
3110,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,19.1,0
3561,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.5,1
480,0,Yes,Yes,11,Yes,No,No,No,No,No,No,Two year,No,Others,19.65,0
1861,0,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Others,45.95,1
1834,1,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,45.1,1
6911,0,Yes,Yes,57,Yes,No,No,No,No,No,No,Two year,Yes,Others,20.1,0
5258,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,One year,Yes,Others,104.7,1
5729,0,Yes,Yes,36,Yes,No,DSL,Yes,No,No,No,Month-to-month,No,Others,51.05,0
380,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Others,86.2,0
2968,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Electronic check,90.4,0
2152,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,0
2105,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,75.25,1
249,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Electronic check,99.0,0
6502,0,Yes,Yes,44,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,No,Others,56.25,0
3030,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.55,1
3241,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.1,1
5887,0,No,Yes,17,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Others,50.3,0
4628,0,Yes,No,12,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,No,Others,54.2,0
1404,0,No,No,35,Yes,Yes,No,No,No,No,No,Two year,No,Others,23.3,0
6025,0,No,Yes,41,Yes,No,DSL,No,No,No,No,Month-to-month,No,Others,45.2,0
2543,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,No,Others,98.15,1
901,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,No,Others,98.3,1
3778,0,No,No,3,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Others,50.4,0
4782,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Others,78.75,0
1645,1,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.65,1
3994,1,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,One year,Yes,Others,101.5,1
1921,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Yes,Others,85.95,0
3206,0,No,No,6,Yes,No,No,No,No,No,No,Month-to-month,No,Others,20.0,0
3743,0,No,Yes,4,Yes,No,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,49.35,1
5496,0,Yes,Yes,43,Yes,Yes,No,No,No,No,No,Two year,No,Others,24.25,0
315,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,No,Others,110.05,0
5401,0,No,No,31,Yes,No,No,No,No,No,No,Two year,No,Others,20.45,0
73,0,Yes,Yes,62,Yes,Yes,No,No,No,No,No,Two year,Yes,Others,24.25,0
1830,0,No,Yes,32,Yes,No,No,No,No,No,No,Two year,No,Others,20.5,0
2503,0,Yes,Yes,44,Yes,No,No,No,No,No,No,One year,No,Others,20.6,0
1000,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,95.35,1
615,0,No,No,15,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Others,48.85,0
5199,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,111.5,0
5085,0,No,No,39,No,No,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,40.6,0
528,0,Yes,Yes,35,Yes,No,No,No,No,No,No,Two year,No,Others,19.6,0
1287,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.5,0
2222,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Others,101.15,0
1904,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.45,1
3524,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Others,84.8,1
6279,0,Yes,Yes,21,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,44.95,0
3708,0,No,No,11,Yes,No,No,No,No,No,No,Two year,No,Others,20.4,0
6406,0,No,No,39,No,No,DSL,No,No,Yes,No,Month-to-month,Yes,Others,50.65,0
4653,0,Yes,Yes,30,No,No,DSL,No,No,No,Yes,Month-to-month,No,Others,51.2,1
5161,0,No,Yes,23,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,No,Electronic check,54.15,0
6689,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Others,112.35,0
3260,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,78.45,1
3747,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,Yes,Month-to-month,Yes,Others,58.5,0
3597,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Others,95.7,0
